name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"beta[3,10]",-0.23,0.055,0.72,-1.3,-0.24,0.97,170.0,1.1,1.0
"beta[3,11]",-1.3,0.068,0.79,-2.6,-1.3,0.035,138.0,0.88,1.0
"beta[3,12]",-1.8,0.017,0.66,-2.9,-1.8,-0.76,1474.0,9.4,1.0
"beta[3,13]",0.96,0.015,0.6,-0.068,0.98,2.0,1552.0,9.9,1.0
"beta[3,14]",-0.35,0.032,0.76,-1.6,-0.32,0.83,578.0,3.7,1.0
"beta[4,1]",0.0083,0.038,0.34,-0.61,0.034,0.57,84.0,0.54,1.0
"beta[4,2]",0.055,0.033,0.28,-0.45,0.082,0.49,71.0,0.45,1.0
"beta[4,3]",-0.55,0.0089,0.34,-1.2,-0.52,-0.064,1432.0,9.1,1.0
"beta[4,4]",-0.3,0.021,0.35,-0.93,-0.26,0.18,263.0,1.7,1.0
"beta[4,5]",0.26,0.02,0.32,-0.34,0.32,0.66,257.0,1.6,1.0
"beta[4,6]",1.6,0.011,0.51,0.8,1.6,2.5,2217.0,14.0,1.0
"beta[4,7]",0.9,0.017,0.56,-0.032,0.9,1.8,1065.0,6.8,1.0
"beta[4,8]",0.45,0.042,0.68,-0.91,0.56,1.3,266.0,1.7,1.0
"beta[4,9]",-0.17,0.028,0.72,-1.3,-0.19,1.0,666.0,4.2,1.0
"beta[4,10]",-0.32,0.053,0.79,-1.5,-0.33,0.97,220.0,1.4,1.0
"beta[4,11]",-1.5,0.029,0.91,-3.1,-1.5,-0.079,1006.0,6.4,1.0
"beta[4,12]",-1.6,0.019,0.71,-2.7,-1.6,-0.41,1408.0,9.0,1.0
"beta[4,13]",0.98,0.018,0.64,-0.091,1.0,2.1,1343.0,8.6,1.0
"beta[4,14]",-0.61,0.021,0.85,-2.1,-0.6,0.73,1678.0,11.0,1.0
